AdminStaff,00001,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,adminstaff,None
MedicalStaff,00002,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,medicalstaff,Unspecified,unspecified,unspecified
AdminStaff,00003,Daniel,Agustin,0431133559,daniel@gmail.com,28 Viney Street,Gracemere,QLD,ddagustin,None
AdminStaff,00004,Daniel,Agustin,0431133559,daniel@gmail.com,28 Viney Street,Gracemere,QLD,ddagustin,None
AdminStaff,00005,Daniel,Agustin,,daniel@gmail.com,28 Viney,Gracemere,QLD,ddagustin,None
AdminStaff,00006,Daniel,Agustin,,daniel@gmail.com,28 Viney,Gracemere,QLD,username,None
AdminStaff,00007,dan,roi,,email@gmail.com,28,sdfs,sdfsdf,blahblah,None
AdminStaff,00008,acsafsjf,slkdfnslkfns,0123456789,sdf@gmail.com,sdfnslkfnslkdf,adfjkjsbv,sjfsdjfnsd,asbfskdb,None
AdminStaff,00009,sdfsdkfjsdfk,ksjdfksjdf,0123456789,sdfsd@gmail.com,sdjfsdfj,sdlfnsdlfns,sdkjfdsdfj,asdfsdf,None
AdminStaff,00010,asfdksjdfbskdj,skdjfskfjsbdf,0431133559,ads@gmail.com,asfjsdlfslf,sdlkfnslkf,sdlkfnslk,asdfksbdfk,None
AdminStaff,00011,xlksndlfksnd,lsdnflksndfl,0123456789,dasda@gmail.com,lksdnflskndf,sldknfsldkfn,lksdnflsk,username,None
